n,i,t
10,1,0.000159785
10,2,0.000158046
10,3,9.1679e-5
10,4,0.000161315
10,5,0.000158282
10,6,0.000272811
10,7,0.000213172
10,8,0.000168811
10,9,0.000280924
10,10,0.000197382
12,1,0.000246138
12,2,0.000487618
12,3,0.000263175
12,4,0.000558717
12,5,0.000279634
12,6,0.000871654
12,7,0.000855853
12,8,0.00057335
12,9,0.000650124
12,10,0.000546049
14,1,0.000903849
14,2,0.001429172
14,3,0.001552828
14,4,0.001293873
14,5,0.001392897
14,6,0.000933869
14,7,0.000855165
14,8,0.001089215
14,9,0.001825877
14,10,0.000323905
16,1,0.000330004
16,2,0.00621387
16,3,0.004868966
16,4,0.003508924
16,5,0.004326913
16,6,0.002262768
16,7,0.005393795
16,8,0.004260613
16,9,0.002970829
16,10,0.003897188
18,1,0.010068273
18,2,0.000684127
18,3,0.007222725
18,4,0.015348992
18,5,0.008165397
18,6,0.008168501
18,7,0.014681703
18,8,0.002267508
18,9,0.013145215
18,10,0.009960896
20,1,0.060013079
20,2,0.039168055
20,3,0.022001688
20,4,0.008585676
20,5,0.018963793
20,6,0.026970753
20,7,0.042091329
20,8,0.059042186
20,9,0.00069451
20,10,0.007049986
22,1,0.081022777
22,2,0.124845851
22,3,0.028678087
22,4,0.065030074
22,5,0.034509936
22,6,0.010139567
22,7,0.018037727
22,8,0.024765606
22,9,0.066297988
22,10,0.04556346
24,1,0.175136113
24,2,0.200050447
24,3,0.345345589
24,4,0.185996246
24,5,0.205069686
24,6,0.568491194
24,7,0.478768267
24,8,0.155646403
24,9,0.04798553
24,10,0.62665897
26,1,2.138190097
26,2,0.523406364
26,3,0.849165411
26,4,1.658303743
26,5,0.784076433
26,6,0.563849662
26,7,0.501090919
26,8,3.415156344
26,9,0.291851806
26,10,0.045811343
28,1,1.717376214
28,2,0.737851897
28,3,2.560921914
28,4,1.391619634
28,5,4.216614038
28,6,1.283256432
28,7,2.998934562
28,8,1.754439273
28,9,3.894332609
28,10,0.23477933
30,1,2.709591544
30,2,3.721102241
30,3,0.855261591
30,4,8.555115903
30,5,10.794091262
30,6,0.493648927
30,7,4.104405533
30,8,1.938248119
30,9,4.074264491
30,10,4.62174676
