n,t
7,1.7454e-5
7,1.8633e-5
7,1.7908e-5
7,2.0982e-5
7,1.9208e-5
7,2.0439e-5
7,1.8669e-5
7,1.7229e-5
7,2.0591e-5
7,1.8592e-5
10,3.748e-5
10,4.2878e-5
10,4.1793e-5
10,3.9227e-5
10,3.7493e-5
10,4.2081e-5
10,3.9505e-5
10,4.2118e-5
10,3.9073e-5
12,5.7668e-5
12,0.000226323
12,0.000202309
12,5.9519e-5
12,6.6182e-5
12,6.4375e-5
12,0.000158001
12,6.3398e-5
12,0.000226182
12,5.3109e-5
14,0.000304383
14,9.2162e-5
14,0.000195465
14,7.7331e-5
14,9.7451e-5
13,0.00026238
13,6.1298e-5
13,0.000215358
13,0.00044099
13,7.0619e-5
13,8.4027e-5
13,0.00025206
16,0.000128236
16,0.001186758
16,0.000106396
16,0.000128243
16,0.000147509
19,0.000937098
19,0.001973876
19,0.000528903
19,0.002428745
19,0.002650165
19,0.000235283
19,0.000252299
19,0.000242604
19,0.000587023
20,0.000235301
20,0.00026795
20,0.000262606
20,0.00083821
20,0.004926488
20,0.000449674
20,0.001525666
24,0.001478514
24,0.003083249
24,0.004734342
24,0.002662925
24,0.000869083
29,0.02545889
29,0.002829183
29,0.020529804
29,0.017833108
29,0.003623533
29,0.003972538
