n,i,t
10,1,3.2335e-5
10,2,3.1194e-5
10,3,3.4942e-5
10,4,3.235e-5
10,5,3.3199e-5
10,6,3.22e-5
10,7,3.2873e-5
10,8,3.2169e-5
10,9,3.2029e-5
10,10,3.1719e-5
12,1,4.5352e-5
12,2,4.5608e-5
12,3,4.3304e-5
12,4,4.5766e-5
12,5,4.3836e-5
12,6,4.3997e-5
12,7,4.4525e-5
12,8,4.882e-5
12,9,4.7129e-5
12,10,4.4768e-5
14,1,5.9021e-5
14,2,6.0472e-5
14,3,6.4782e-5
14,4,6.2153e-5
14,5,5.8787e-5
14,6,6.0315e-5
14,7,6.5937e-5
14,8,6.1603e-5
14,9,6.3981e-5
14,10,6.135e-5
16,1,8.3442e-5
16,2,8.6403e-5
16,3,8.1823e-5
16,4,9.1234e-5
16,5,8.8815e-5
16,6,8.2213e-5
16,7,8.5101e-5
16,8,8.8117e-5
16,9,8.4955e-5
16,10,8.2964e-5
18,1,0.000123472
18,2,0.000108112
18,3,0.000111094
18,4,0.000125373
18,5,0.000126997
18,6,0.000126056
18,7,0.00011919
18,8,0.000114313
18,9,0.000122041
18,10,0.000120702
20,1,0.000153797
20,2,0.000154911
20,3,0.000151898
20,4,0.000153653
20,5,0.000153388
20,6,0.000161631
20,7,0.000140407
20,8,0.000155399
20,9,0.000163386
20,10,0.000159868
22,1,0.000203955
22,2,0.000214627
22,3,0.000189502
22,4,0.000178874
22,5,0.000193161
22,6,0.000203958
22,7,0.000195978
22,8,0.000210708
22,9,0.000184848
22,10,0.000201633
24,1,0.000234476
24,2,0.000252209
24,3,0.000250145
24,4,0.000267434
24,5,0.000234899
24,6,0.000244572
24,7,0.000251681
24,8,0.000237194
24,9,0.000267349
24,10,0.000262148
26,1,0.000330277
26,2,0.000312166
26,3,0.000284295
26,4,0.000321562
26,5,0.000292374
26,6,0.000294419
26,7,0.000302876
26,8,0.000317485
26,9,0.000288054
26,10,0.000313864
28,1,0.000359437
28,2,0.000391906
28,3,0.000370132
28,4,0.000355029
28,5,0.000375076
28,6,0.000360157
28,7,0.000394828
28,8,0.000367868
28,9,0.000383871
28,10,0.00035476
30,1,0.000406351
30,2,0.000424794
30,3,0.000498375
30,4,0.000443009
30,5,0.000442831
30,6,0.00046415
30,7,0.000488154
30,8,0.000524694
30,9,0.000451504
30,10,0.000503572
